phrase;rel_page;2019-01-01;2019-01-02;2019-01-03;2019-01-04;2019-01-05;2019-01-06;2019-01-07;2019-01-08;2019-01-09;2019-01-10;2019-01-11;2019-01-12;2019-01-13;2019-01-14;2019-01-15;2019-01-16;2019-01-17;2019-01-18;2019-01-19;2019-01-20;2019-01-21;2019-01-22;2019-01-23;2019-01-24;2019-01-25;2019-01-26;2019-01-27;2019-01-28;2019-01-29;2019-01-30;2019-01-31;2019-02-01;2019-02-02;2019-02-03;2019-02-04;2019-02-05;2019-02-06;2019-02-07;2019-02-08;2019-02-09;2019-02-10;2019-02-11;2019-02-12;2019-02-13;2019-02-14;2019-02-15;2019-02-16;2019-02-17;2019-02-18;2019-02-19;2019-02-20;2019-02-21;2019-02-22;2019-02-23;2019-02-24;2019-02-25;2019-02-26;2019-02-27;2019-02-28;2019-03-01;2019-03-02;2019-03-03;2019-03-04;2019-03-05;2019-03-06;2019-03-07;2019-03-08;2019-03-09;2019-03-10;2019-03-11;2019-03-12;2019-03-13;2019-03-14;2019-03-15;2019-03-16;2019-03-17;2019-03-18;2019-03-19;2019-03-20;2019-03-21;2019-03-22;2019-03-23;2019-03-24;2019-03-26;2019-03-27;2019-03-28;2019-03-29;2019-03-30;2019-03-31;2019-04-01;2019-04-02;2019-04-03;2019-04-04;2019-04-05;2019-04-06;2019-04-07;2019-04-08;2019-04-09;2019-04-10;2019-04-11;2019-04-12;2019-04-13;2019-04-14;2019-04-15
крем с черной икрой;https://da-vita.ru/catalog/kremi-s-chernoi-ikroi.html;26;27;26;25;26;27;26;28;28;25;23;23;24;26;28;25;33;25;24;26;25;39;29;30;33;34;28;36;35;46;30;28;30;30;26;27;46;22;25;33;26;36;42;35;26;31;26;25;22;22;37;45;28;38;26;37;37;34;37;35;28;34;21;30;27;21;20;27;25;32;27;25;21;22;24;25;25;24;22;22;20;23;25;24;21;21;19;24;25;22;24;25;27;26;25;25;26;25;25;24;26;25;21;24
крем с экстрактом черной икры;https://da-vita.ru/catalog/kremi-s-chernoi-ikroi.html;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;95;95;93;90;89;91;89;92;43;53;45;31;32;39;43;46;30;43;42;47;40;45;45;52;53;51;54;54;52;34;42;39;89;59;60;88;94;100;91;97;78;80;80;88;88;97;87;91;91;87;93;89
крем увлажняющий ночной купить;https://da-vita.ru/catalog/nochnie-kremi.html;11;11;11;13;12;15;12;7;7;12;12;12;8;15;18;10;11;10;11;11;14;11;12;15;14;12;12;12;13;12;13;14;15;12;10;11;11;7;11;12;11;11;12;12;10;10;10;6;10;10;8;17;9;11;13;9;12;11;14;10;9;10;11;9;9;10;8;9;6;6;7;7;6;9;9;11;10;9;15;14;13;14;17;17;16;19;19;17;19;15;18;18;17;18;20;20;9;20;16;16;17;16;15;19
крем черная икра купить;https://da-vita.ru/catalog/chernaya-ikra.html;9;8;9;9;9;12;10;11;11;11;10;9;12;12;5;5;5;10;10;5;10;9;10;9;9;9;8;10;7;9;10;10;7;6;9;9;9;8;9;9;9;9;11;9;5;8;7;8;6;6;7;15;9;14;10;10;10;9;16;13;5;8;5;8;8;8;10;10;8;8;8;10;9;9;9;9;9;15;12;9;9;11;11;11;10;10;11;13;11;13;13;13;14;12;12;12;10;6;11;12;11;13;13;14
крема для сухой кожи летом;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
крема для тела health beauty;https://da-vita.ru/catalog/kremi-health-and-beauty.html;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;43;101;101;101;101;101;101;101;46;101;101;101;101;62;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;100;98;94;89;95;44;47;56;48;46;44;46;47;46;54;49;59;59;60;60;65;63;64;62;62;60;57;59;61;62;57;58;60;68;67;69;66;71;74;91;90;91;71;75;74;70;72;72;75
крема для эластичности кожи тела купить;https://da-vita.ru/catalog/kremi-dlya-podtyajki-kozhi-tela.html;30;32;33;33;29;35;32;32;29;29;30;31;27;31;31;32;38;36;28;28;30;30;23;36;29;18;21;32;26;33;34;32;34;30;31;30;30;39;40;39;35;32;44;46;27;35;27;29;29;31;35;55;43;51;35;41;32;31;41;27;29;23;26;22;22;19;19;14;14;11;14;12;15;15;16;18;17;21;12;22;21;18;15;28;13;20;12;21;94;98;14;13;22;99;28;101;101;98;99;98;23;94;98;95
крема израильская косметика;https://da-vita.ru/catalog/izrailskie-kremi-dlya-lica.html;2;4;4;5;4;5;4;4;4;4;3;4;4;4;4;4;4;4;4;1;4;4;4;4;2;1;3;1;4;2;2;2;2;2;1;2;1;3;1;2;1;1;5;4;1;1;1;1;1;3;3;10;5;7;8;5;4;4;3;6;4;6;5;6;6;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;4;3;4;3;4;5;4;5;6;6;6;6;4;4;4;5;3;6;3;4;5;6;5;5
крема кедем;https://da-vita.ru/catalog/kedem---100-naturalnaya-kosmetika.html;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;3;3;2;4;2;3;2;4;3;3;2;2;2;3;3;2;2;3;3;2;2;2;2;2;2;2;4;2;2;2;2;2;2;3;3;3;2;2;2;3;3;4;4;4;3;4;3;3;3;3;4;3;3;3;3;3;3;4;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
кремы для лица после 30 лет купить;https://da-vita.ru/catalog/kremi-dlya-lica-30-let.html;4;3;4;3;3;4;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;4;3;3;2;2;4;2;2;2;2;4;4;2;3;2;3;5;2;3;7;5;5;3;4;4;4;4;3;6;2;4;4;5;5;4;5;4;4;4;4;4;5;5;5;5;6;5;5;5;3;4;6;3;8;3;5;6;5;4;4;5;4;5;5;5;6;5;5;5;5;73;5
кремы от купероза на лице;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
кремы от морщин после 25 лет купить;https://da-vita.ru/catalog/krem-ot-morshchin-25-let.html;8;3;3;2;4;4;5;5;3;3;3;4;3;2;2;3;7;3;3;3;3;2;3;3;2;1;1;1;2;1;3;2;1;2;2;1;1;1;2;2;1;2;2;2;1;1;1;1;1;1;1;4;1;2;1;1;1;1;1;1;5;5;4;3;4;5;9;12;5;11;10;7;9;8;7;9;8;7;13;12;19;9;9;10;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
кремы от морщин после 30 лет купить;https://da-vita.ru/catalog/krem-ot-morshchin-30-let.html;9;9;9;11;10;12;11;11;8;7;7;9;7;8;8;8;9;6;6;48;8;6;8;8;6;6;8;7;8;8;6;7;7;7;8;4;5;4;7;7;7;7;10;9;9;7;4;5;6;6;9;13;9;9;9;8;8;8;10;6;3;12;10;10;12;13;8;10;8;12;10;9;7;9;9;13;11;9;8;10;9;5;5;5;8;9;11;13;5;13;5;5;18;12;11;14;12;10;8;13;15;9;4;12
кремы от морщин после 35 лет купить;https://da-vita.ru/catalog/krem-ot-morshchin-35-let.html;8;8;8;8;8;9;10;9;10;10;12;9;9;8;10;10;15;13;10;9;10;9;11;11;10;10;11;13;14;10;11;13;11;13;10;12;11;9;13;16;11;9;19;19;11;8;9;8;19;8;9;45;12;18;10;11;10;11;14;12;7;10;14;12;12;15;11;9;8;9;8;10;9;8;33;9;9;8;8;7;7;11;14;10;9;9;7;8;8;7;12;11;11;16;14;12;8;11;14;14;11;16;14;16
кремы с витамином е для глаз купить;https://da-vita.ru/catalog/geli-i-kremi-dlya-glaz-s-vitaminom-e.html;5;2;5;4;4;6;5;6;5;5;5;5;5;5;3;3;6;5;5;6;6;6;6;7;6;6;5;3;2;2;3;3;4;5;4;3;3;3;5;6;6;7;6;10;3;6;4;6;2;5;6;14;7;14;6;11;7;8;11;12;7;5;6;4;4;4;4;4;4;4;4;5;5;6;5;7;7;7;7;7;7;8;9;5;6;4;5;6;6;6;8;4;6;7;7;4;5;5;4;5;5;5;4;10
купероз на лице;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
купероз на лице причины;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
купить антивозрастной крем;https://da-vita.ru/catalog/antivozrastnie-kremi.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;1;1;1;1;1;2;2;2;2;2;2;1;2;2;2;1;1;2;1;2;2;3;2;2;3;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1
купить антивозрастной крем 50;https://da-vita.ru/catalog/antivozrastnie-kremi.html;4;3;4;3;3;3;2;1;1;2;2;1;2;2;1;3;3;1;1;1;1;1;2;3;2;1;4;4;4;3;4;3;2;3;3;1;1;1;2;3;2;3;5;5;2;1;5;1;2;2;5;5;5;8;6;2;9;10;12;8;6;6;6;4;5;5;4;4;4;2;3;1;4;4;5;5;5;5;5;5;5;1;1;1;1;1;1;1;3;4;1;1;4;1;5;4;4;5;4;3;6;4;1;4
купить бальзам кондиционер для волос;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;72;67;66;66;67;69;66;68;59;57;101;62;51;59;56;62;60;101;59;54;58;49;54;49;51;101;101;54;57;54;62;57;101;101;101;101;101;101;101;101;52;101;101;101
купить в спб соль мертвого моря;https://da-vita.ru/catalog/sol-mertvogo-morya.html;5;6;6;4;3;5;4;4;5;5;5;5;4;7;4;4;4;5;5;4;4;5;5;5;6;6;5;6;8;6;6;7;10;6;6;6;6;6;6;7;7;6;10;14;7;7;7;5;6;5;4;11;7;12;8;9;10;8;9;8;4;5;5;4;5;4;7;3;6;7;5;5;7;9;9;9;9;9;9;9;7;6;8;8;8;8;8;10;8;8;8;8;10;8;8;8;6;9;9;8;8;8;8;10
купить гель для душа;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;95;101;101;101;101;101;91;91;89;94;75;98;101;101;101;101;101;101;101;101;101;101;101;101;101;48;101;101;101;101;45;101;101;101;101;101;101;101;101;101;101;101
купить гель для душа в интернет магазине;https://da-vita.ru/catalog/geli-i-molochko-dlya-dusha.html;92;92;90;101;97;83;98;98;93;79;64;65;65;65;79;84;56;79;79;66;67;66;65;65;65;61;64;63;67;81;97;91;85;89;86;101;69;79;63;57;55;78;67;84;56;80;80;79;83;97;89;91;85;86;81;86;81;63;66;64;39;45;55;48;45;46;47;28;35;38;24;48;43;44;49;56;50;55;48;46;48;49;52;46;40;49;45;60;44;51;58;59;59;50;53;36;52;53;47;42;40;47;42;55
купить гель для душа мужской;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
купить гель крем для душа;https://da-vita.ru/catalog/kremi-geli-dlya-dusha.html;40;39;41;41;33;44;42;22;45;39;40;43;37;44;36;22;20;42;41;45;22;42;47;48;38;26;31;46;27;24;37;39;37;34;30;39;32;29;31;43;27;31;41;35;21;31;22;27;16;21;22;40;28;43;30;29;31;28;39;26;35;24;25;25;12;15;13;13;10;10;9;10;25;11;11;15;14;18;14;14;13;14;15;18;13;14;16;13;13;14;21;13;13;24;24;23;26;12;25;25;25;13;17;26
купить грязь мертвого моря производство израиль;https://da-vita.ru/catalog/gryaz-mertvogo-morya.html;8;8;10;8;10;11;11;11;11;12;13;13;13;13;12;13;10;11;12;12;12;12;12;13;14;11;13;12;14;13;20;12;11;10;8;10;10;9;9;9;8;9;11;18;6;7;6;6;11;11;8;21;12;17;11;12;12;12;14;11;12;11;14;11;12;12;12;16;14;13;15;12;9;10;10;11;10;12;11;11;12;11;11;13;11;10;12;13;12;13;13;13;17;19;12;12;12;10;11;10;10;10;10;12
купить дневной крем для лица;https://da-vita.ru/catalog/antivozrastnie-kremi.html;5;4;5;7;6;10;4;5;7;6;4;5;6;7;10;3;3;2;2;12;15;11;11;16;13;14;13;14;8;13;10;11;13;10;6;7;7;6;15;11;6;9;16;9;5;10;19;5;6;7;15;24;13;22;12;15;17;13;21;14;20;18;18;14;18;21;21;19;18;21;21;24;21;28;22;28;25;29;43;41;28;23;28;37;39;34;34;29;20;28;37;32;29;32;32;27;26;22;38;22;25;35;24;25
купить израильскую косметику;https://da-vita.ru/catalog/izrailskaya-kosmetika.html;3;3;4;4;4;4;4;3;3;4;4;3;4;4;4;4;2;4;3;3;4;4;3;3;4;4;4;5;6;6;4;5;4;4;3;4;5;5;6;4;4;4;5;6;3;3;3;3;3;3;3;8;3;5;4;5;4;4;4;3;3;5;3;4;4;7;4;5;6;6;4;7;5;7;7;5;4;6;10;7;7;9;6;7;9;8;6;7;5;7;5;6;7;6;5;5;5;6;5;7;7;4;5;7
купить израильскую косметику health beauty;https://da-vita.ru/catalog/health-amp-beauty.html;19;20;20;19;17;18;18;17;17;18;20;20;19;22;21;19;19;19;17;18;16;25;17;17;16;13;12;14;20;14;15;13;15;14;13;14;16;12;15;15;15;15;17;18;10;13;9;13;10;11;14;29;20;17;19;21;19;20;19;15;21;21;22;23;21;25;19;22;19;21;22;21;21;21;23;24;23;25;24;24;25;20;23;24;21;26;23;25;25;23;24;23;20;21;24;24;20;20;23;23;22;23;19;21
купить израильскую косметику в москве магазин;https://da-vita.ru/catalog/izrailskaya-kosmetika.html;2;2;2;2;2;2;2;2;2;2;2;2;4;4;3;4;3;3;3;3;4;3;3;3;3;3;4;4;4;3;4;3;4;3;3;3;3;3;5;5;5;5;6;7;4;3;5;4;4;5;4;5;4;6;5;4;5;5;5;5;5;5;5;5;5;5;4;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;4;3;4;3
купить израильскую косметику в спб;https://da-vita.ru/shops/firmennii_magazin_kosmetiki_mertvogo_morya_na_ligovskom_prospekte.html;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;2;1;1;1;1;1;1;1;1;2;2;1;2;1;2;5;2;2;3;3;2;2;2;3;1;2;1;5;2;2;2;2;2;2;2;2;2;2;3;3;3;3;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;3;2;3;2;2;2;2;2;2;2;2;2;2;4;2;2
купить израильскую косметику мертвого моря;https://da-vita.ru/catalog/izrailskaya-kosmetika.html;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;4;3;4;3;2;2;3;4;4;2;3;2;2;2;2;2;2;2;3;3;5;4;6;3;2;2;2;2;2;3;7;3;5;5;5;5;4;5;4;5;5;5;6;6;4;4;4;6;7;5;5;6;6;7;5;7;5;6;5;8;7;6;6;8;7;6;6;6;5;6;6;5;7;7;6;5;6;6;6;6;6;6;5
купить кондиционер для увлажнения волос;https://da-vita.ru/catalog/kondicioneri-dlya-volos-uvlajnyayushchie.html;67;66;68;68;64;72;67;67;65;65;63;63;65;56;47;47;61;64;64;98;58;68;60;62;64;70;64;72;71;101;72;75;73;71;71;69;71;101;71;69;64;62;72;62;60;58;51;35;54;29;42;62;41;54;33;33;45;40;49;36;58;53;57;47;34;31;33;30;24;22;30;34;34;30;35;38;37;43;52;46;46;45;46;46;40;47;40;50;39;52;42;36;55;61;51;57;33;56;66;57;57;44;37;38
купить кондиционеры для объема волос;https://da-vita.ru/catalog/kondicioner-dlya-obema-volos.html;37;32;52;50;45;50;49;51;48;48;48;50;43;48;43;49;49;38;40;53;52;54;51;51;49;47;47;51;54;55;101;53;51;53;50;53;58;45;54;59;50;51;58;40;36;42;41;37;36;46;39;54;43;51;37;48;48;52;58;50;101;101;101;101;101;101;101;101;101;101;95;30;101;101;101;101;101;101;94;94;36;99;100;101;101;101;101;101;101;101;32;30;101;34;101;101;101;101;19;101;101;101;101;95
купить кондиционеры для сухих волос;https://da-vita.ru/catalog/kondicioneri-dlya-suhih-volos.html;32;21;32;36;29;40;39;38;38;36;41;37;44;47;22;46;42;42;39;38;42;39;44;42;46;50;43;43;52;47;50;44;39;48;48;44;45;32;38;40;37;35;45;28;33;30;40;23;21;27;27;50;31;38;34;42;39;38;37;32;49;32;23;23;24;26;32;27;15;17;21;24;18;28;29;33;30;32;34;31;31;36;43;34;37;42;37;40;33;40;40;41;33;36;36;44;36;31;32;33;39;28;39;36
купить косметику naomi;https://da-vita.ru/catalog/naomi.html;23;21;22;24;23;21;24;23;23;26;26;24;23;26;16;19;24;24;24;25;25;20;26;26;26;17;25;19;20;18;18;17;17;15;18;15;12;14;15;14;15;13;16;12;12;19;11;10;14;16;16;16;15;18;18;20;18;18;20;18;20;18;20;19;21;23;21;20;18;20;19;20;18;20;20;22;22;23;20;20;20;21;24;21;18;24;22;19;22;24;20;20;17;25;15;22;18;20;21;22;19;20;18;20
купить косметику sea of spa;https://da-vita.ru/catalog/sea_of_spa.html;4;4;4;4;4;4;4;5;5;4;4;5;4;5;2;2;4;2;4;4;5;5;5;5;4;3;3;4;5;4;3;4;5;5;5;5;5;3;5;5;4;5;5;6;4;4;4;4;4;3;5;5;6;6;5;5;6;5;6;4;6;5;6;6;7;4;7;7;7;6;5;5;5;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;6;6;6;6;7
купить косметику для волос;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
купить косметику для лица в интернет магазине;https://da-vita.ru/catalog/lico.html;43;43;45;42;39;42;42;43;42;42;39;38;42;48;57;52;48;52;43;46;49;101;50;52;50;49;101;55;53;46;44;45;45;43;40;53;41;38;39;40;37;41;41;45;37;41;35;38;38;47;47;52;51;54;44;61;59;48;62;50;101;101;101;101;101;101;101;101;101;101;101;101;101;101;58;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;90;101;94;95;101;93;101;94;98
купить косметику для окрашенных волос;https://da-vita.ru/catalog/dlya-okrashennih-volos.html;25;12;27;30;23;34;29;34;31;37;36;34;33;40;38;40;35;36;35;39;43;31;41;40;38;34;35;33;35;31;22;25;34;26;22;22;22;21;36;27;24;31;38;21;23;30;21;19;18;22;25;41;25;32;13;36;41;32;37;30;79;80;23;22;19;21;21;20;14;16;20;25;17;24;25;29;28;27;30;29;22;26;33;33;28;32;31;27;23;29;26;24;24;28;26;28;28;28;27;28;29;27;26;33
купить косметику мертвого моря в интернет магазине;https://da-vita.ru/catalog/izrailskaya-kosmetika.html;4;5;4;4;4;5;5;6;6;7;7;6;7;6;7;6;5;6;5;5;6;6;6;6;6;6;6;6;6;6;6;8;6;6;6;6;6;6;5;8;5;6;6;8;5;4;5;4;4;5;8;8;5;7;5;10;7;7;8;5;6;7;7;7;6;7;8;9;11;9;7;10;7;9;9;8;7;8;9;7;8;7;8;7;7;7;7;7;7;6;7;7;7;7;7;7;7;6;7;7;7;7;7;7
купить косметику мертвого моря в спб;https://da-vita.ru/shops/firmennii_magazin_kosmetiki_mertvogo_morya_na_ligovskom_prospekte.html;6;6;6;6;6;7;6;7;7;6;6;6;6;6;7;6;6;6;6;6;6;6;8;6;7;9;6;9;9;6;7;7;7;7;7;6;7;6;6;8;8;8;9;10;6;6;6;6;6;7;6;8;6;6;6;6;6;6;6;6;6;5;6;5;6;6;5;6;6;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;5;5;5;5;5;6;5;5;7;5;5
купить косметику хлавин;https://da-vita.ru/catalog/lavilin__hlavin.html;11;12;11;13;12;14;14;13;13;10;11;10;10;12;13;11;13;9;13;13;13;14;14;14;15;14;14;25;13;15;12;15;20;34;17;15;13;19;24;20;17;22;29;30;17;16;14;14;12;14;28;47;23;36;23;16;32;28;16;24;10;18;23;22;18;17;20;18;17;20;23;27;29;32;34;30;30;34;30;27;28;24;23;37;16;17;17;13;16;16;20;17;29;22;28;27;17;22;25;25;22;26;27;23
купить крем health beauty dead sea minerals;https://da-vita.ru/catalog/health-amp-beauty.html;14;14;15;14;14;16;14;13;13;15;12;12;11;15;11;12;12;10;11;12;11;17;10;11;11;12;14;13;13;16;14;16;16;18;16;15;15;14;13;14;12;15;18;27;13;11;10;10;11;11;14;15;12;17;13;14;14;14;13;14;11;12;15;12;12;15;11;12;10;12;11;14;11;15;15;13;13;15;15;15;14;11;12;14;15;18;18;14;19;16;17;16;21;16;23;19;20;18;19;18;16;19;16;18
купить крем sea of spa;https://da-vita.ru/catalog/sea_of_spa.html;6;6;6;8;8;8;8;7;7;7;6;6;4;6;3;1;4;2;6;6;3;6;7;5;5;5;5;5;6;6;6;6;7;6;6;6;6;7;6;6;6;6;7;9;6;5;6;6;6;5;6;11;6;9;6;6;8;6;6;6;6;6;6;6;7;7;6;7;6;7;7;7;9;7;7;8;8;8;10;10;9;10;12;12;12;12;9;9;9;10;11;12;11;10;8;10;10;8;8;9;9;9;9;10
купить крем вокруг глаз;-;61;25;63;59;52;63;63;63;60;58;60;58;58;46;26;19;35;58;56;58;61;61;57;61;43;46;50;101;101;49;56;53;101;101;65;59;61;54;56;51;44;42;65;35;36;75;44;44;34;36;47;67;64;74;58;67;65;63;69;63;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;54;101;101;101;101;101;101;101;85;86;101;101;85;101;101;101;69;65;55;101;86;82;69;101;101;101
купить крем вокруг глаз с гиалуроновой кислотой;https://da-vita.ru/catalog/geli-kremi-dlya-glaz-s-gialuronovoi-kislotoi.html;4;4;4;4;4;5;4;4;4;3;3;3;3;4;3;3;3;3;4;8;6;6;9;9;9;8;9;9;7;7;9;9;10;10;8;7;4;4;7;7;7;9;9;7;5;6;3;3;2;3;3;20;8;7;11;13;15;12;17;16;6;6;6;6;4;4;10;10;7;11;10;13;15;12;13;14;13;15;17;9;12;14;15;17;12;16;14;14;16;13;16;15;18;13;13;17;11;18;16;13;21;16;19;14
купить крем для век с гиалуроновой кислотой;https://da-vita.ru/catalog/geli-kremi-dlya-glaz-s-gialuronovoi-kislotoi.html;3;3;3;3;1;3;3;3;3;3;3;3;2;3;3;1;3;1;3;3;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;8;3;4;3;3;3;3;5;2;2;2;2;1;3;3;2;2;2;3;2;2;2;2;3;3;3;2;3;2;2;2;3;2;2;2;3;3;2;3;4;4;3;2;2;2;2;1;1;1;1;1;4;1
купить крем для волос;https://da-vita.ru/catalog/nesmivaemie-kremi-dlya-volos.html;63;65;66;68;68;69;68;68;67;67;66;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;101;70;70;70;69;69;70;70;97;70;70;70;70;70;70;70;101;98;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;57;56;45;37;37;43;39;39;40;36;40;42;43;45;44;45;40;49;53;46;49;101;51;49;100;52;57;95;53;87;88;95;53;101;57;73;59;58;58;71
купить крем для комбинированной кожи;-;27;33;35;39;34;49;31;30;30;31;38;38;41;46;41;80;79;53;41;46;84;84;83;83;56;48;47;48;54;47;93;86;43;46;46;44;81;83;64;59;54;52;65;53;51;100;48;48;52;48;59;68;38;47;23;43;35;41;48;43;47;44;42;45;48;52;20;48;37;42;33;39;39;46;48;54;51;50;48;45;50;45;53;50;43;40;101;44;21;101;49;101;101;101;24;25;101;29;24;26;101;26;101;101
купить крем для лица 35;https://da-vita.ru/catalog/kremi-dlya-lica-35-let.html;6;6;6;6;6;6;6;6;6;6;6;6;6;8;6;6;5;5;6;6;5;6;6;6;6;8;10;6;8;7;7;7;7;8;8;6;7;6;6;7;6;6;7;6;5;5;5;5;7;5;6;7;5;4;5;6;5;5;5;5;7;4;6;4;6;8;5;5;4;4;5;5;6;4;4;4;4;4;5;5;4;4;7;6;7;22;20;11;21;10;10;8;8;20;22;20;6;7;6;17;23;7;18;7
купить крем для лица ahava;https://da-vita.ru/catalog/ahava.html;6;7;7;7;7;7;7;7;8;8;9;7;8;12;6;10;10;7;6;7;7;8;7;9;7;9;8;9;9;8;9;9;7;7;7;5;6;6;5;5;4;5;9;11;5;4;3;3;7;3;7;19;11;15;9;12;10;10;11;10;9;7;7;7;8;10;7;8;6;5;6;7;7;7;7;7;7;8;7;7;7;8;8;9;11;10;11;13;10;12;9;9;12;13;12;8;11;11;12;11;13;12;12;12
купить крем для лица для сухой кожи;https://da-vita.ru/catalog/kremi-dlya-suhoi-koji.html;6;6;6;6;6;7;6;6;6;6;6;6;7;7;7;7;6;7;8;11;11;10;10;10;10;9;8;8;9;10;9;12;12;10;12;14;13;11;9;10;9;10;11;10;7;9;8;6;5;7;12;15;13;8;11;16;14;14;8;14;11;14;12;11;11;8;11;12;7;11;9;11;10;12;12;13;14;15;18;15;16;8;8;10;12;18;12;15;14;14;14;10;16;16;16;13;14;13;14;14;13;10;14;14
